nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
158	4	3	4	3	4	4	4	3	4	3	3	2	4	3	3	3	3	3	4	3	1	21	1	3
159	4	3	4	3	4	3	4	4	4	3	4	2	3	4	3	3	4	4	2	4	2	23	1	3
160	3	5	4	5	4	4	3	4	3	5	4	3	3	3	3	4	4	2	3	3	1	30	1	3
161	3	3	4	3	4	3	4	4	4	3	4	3	3	4	4	2	4	4	3	3	2	33	1	3
162	4	4	2	4	4	5	3	3	4	4	3	4	5	4	3	5	4	4	2	1	1	22	1	3
163	5	5	4	5	4	5	4	3	4	5	4	5	5	4	4	4	4	4	5	4	1	25	1	3
164	5	3	5	2	4	4	4	2	4	2	4	2	4	4	3	4	2	3	1	4	2	30	1	3
165	4	4	3	4	4	4	3	3	4	4	3	2	3	4	4	3	4	4	4	3	1	19	1	3
166	4	4	3	5	4	5	4	5	4	5	3	3	3	3	3	5	5	3	3	3	2	24	1	3
167	5	4	4	4	4	4	4	4	4	4	4	3	2	4	4	5	5	4	4	4	2	22	1	3
168	5	5	5	5	3	4	4	5	3	5	5	2	4	3	5	4	5	3	4	4	1	22	1	3
169	4	5	5	5	4	4	5	5	4	5	5	2	2	3	4	3	5	4	5	4	1	22	1	3
170	5	5	2	5	4	5	2	5	4	5	3	2	4	4	5	3	5	2	2	1	1	26	1	3
171	4	5	3	5	4	5	3	5	4	5	5	2	4	4	5	2	5	4	2	3	1	23	1	3
172	5	5	4	5	2	4	4	4	2	3	5	2	4	2	3	4	5	1	5	3	1	32	1	3
173	5	5	4	5	5	3	3	5	5	5	4	2	5	4	5	3	5	5	2	4	1	24	1	3
174	3	4	4	4	3	4	4	5	4	5	5	3	3	3	4	3	5	4	1	4	2	35	6	-99
175	5	4	3	5	4	5	3	2	4	5	3	3	5	4	3	5	3	4	2	3	1	24	1	3
