Posttest,Pretest,Effort
-1.4822370803604028,-1.3269156375337128,NaN
-0.3953879838595485,-0.263188001808597,NaN
NaN,-2.205647162697939,NaN
-0.5594406776709981,NaN,-2.2819986481675683
-0.3953879838595485,-0.33256154326893067,0.20985819190393998
NaN,NaN,NaN
-2.302500549417651,-2.0669000797772714,NaN
NaN,NaN,NaN
-1.215651452916797,-1.2806666098934905,0.20985819190393998
-0.005762836057355435,0.3149248436941833,-0.03932749210321087
-1.3591975600018154,-0.47130862618959796,-1.0360702281318142
0.34284913829197516,-0.47130862618959796,-0.03932749210321087
-1.0105855856524848,NaN,NaN
-0.2723484635009612,NaN,NaN
NaN,NaN,NaN
0.0557569241219382,NaN,NaN
-1.2976777998225217,NaN,NaN
0.0557569241219382,NaN,NaN
-0.7850131316617415,-0.05506737742759612,NaN
-0.06728259623664908,NaN,NaN
-0.21082870332166756,-1.1187950131527118,NaN
0.5069018321034249,1.1474073412181869,0.4590438759110908
NaN,-0.7488027920309325,NaN
NaN,NaN,NaN
-1.9538885750683206,-1.234417582253268,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.9695724121996224,-1.3037911237136015,NaN
-2.6306059370405506,-1.8587794553962707,NaN
0.4248754851977,NaN,NaN
-0.35437481040668606,NaN,NaN
-0.6004538511238606,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-1.215651452916797,NaN,NaN
NaN,NaN,NaN
0.5069018321034249,NaN,NaN
0.1993030312069567,0.29180032987407206,0.7082295599182417
-1.0310921723789161,NaN,NaN
-0.37488139713311724,-0.263188001808597,NaN
0.5479150055562872,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,0.5461699818952954,1.2066009279325434
NaN,NaN,NaN
1.1220994338963612,1.0317847721176308,-1.0360702281318142
-0.005762836057355435,NaN,NaN
0.30183596483911274,0.8930376891969636,NaN
-0.7850131316617415,-0.33256154326893067,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-1.1951448661903659,NaN,NaN
NaN,NaN,NaN
0.46588865865056245,0.9855357444774084,0.7082295599182417
0.2198096179333879,-0.07819189124770733,NaN
0.11727668430123184,0.17617776077351602,-0.03932749210321087
-0.7645065449353103,NaN,-0.03932749210321087
NaN,NaN,NaN
1.1015928471699301,NaN,NaN
0.40436889847126883,-0.263188001808597,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.2246323675285173,0.8467886615567412,NaN
-0.4364011573124109,-0.49443314000970917,NaN
0.6709545259148746,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-1.0494214716923782,-1.7836272801532669
NaN,NaN,NaN
NaN,NaN,NaN
-0.9695724121996224,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
2.126922183491491,2.904870391546639,NaN
NaN,NaN,NaN
-0.8875460652938976,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.005762836057355435,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,0.499920954255073,NaN
0.8965269799056179,1.3786524794192991,NaN
NaN,NaN,NaN
-1.502743667086834,-0.586931195290154,NaN
NaN,NaN,NaN
-0.2723484635009612,-0.28631251562870824,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.7850131316617415,NaN,NaN
NaN,NaN,NaN
-0.6209604378502918,-0.5406821676499316,NaN
0.2198096179333879,2.16488594930308,1.4557866119396943
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.6004538511238606,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-1.558160775734825,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.8465328918410352,-0.07819189124770733,-1.0360702281318142
NaN,-1.2806666098934905,NaN
-1.2566646263696595,-0.70255376439071,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.24031620465981912,0.939286716837186,NaN
0.5684215922827185,0.6849170648159627,NaN
NaN,-0.7488027920309325,NaN
2.3114814640293715,2.3730065736840813,-0.03932749210321087
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.3338682236802548,-0.17068994652815217,NaN
NaN,NaN,NaN
0.7324742860941682,1.3092789379589653,NaN
NaN,NaN,NaN
NaN,-0.30943702944881946,NaN
0.6504479391884433,NaN,NaN
NaN,0.6849170648159627,NaN
NaN,-1.350040151353824,NaN
-1.2771712130960906,-3.5006199366241666,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.4863952453769937,-0.10131640506781854,0.9574152439253925
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,1.4557866119396943
-2.979217911389881,-1.6044098033750473,0.20985819190393998
NaN,NaN,NaN
1.306658714434242,NaN,NaN
NaN,NaN,NaN
NaN,-0.5406821676499316,-0.03932749210321087
-1.0721053458317784,NaN,NaN
NaN,NaN,NaN
0.5479150055562872,0.40742289897462813,-2.0328129641604176
NaN,NaN,NaN
NaN,-0.07819189124770733,NaN
-1.215651452916797,-1.4887872342744912,NaN
NaN,NaN,NaN
-0.16981552986880513,-0.14756543270804096,NaN
-2.9997244981163123,-1.0956704993326007,-1.285255912138965
-0.31336163695382363,NaN,NaN
-0.6619736113031542,-0.7950518196711549,0.9574152439253925
NaN,NaN,NaN
0.2198096179333879,0.499920954255073,-0.5376988601175126
NaN,0.060555191672959946,NaN
NaN,NaN,NaN
NaN,-2.113149107417494,NaN
NaN,NaN,-0.03932749210321087
0.9375401533584803,NaN,NaN
-0.04677600951021786,0.8467886615567412,NaN
NaN,NaN,NaN
0.4248754851977,NaN,NaN
-0.2723484635009612,NaN,NaN
-0.08778918296308029,0.40742289897462813,NaN
-0.49792091749170453,-1.3962891789940464,NaN
-0.06728259623664908,NaN,NaN
NaN,NaN,NaN
0.8965269799056179,1.1242828273980756,-0.2885131761103617
NaN,NaN,NaN
0.30183596483911274,0.9624112306572973,-0.03932749210321087
0.13778327102766305,-0.14756543270804096,1.2066009279325434
-0.31336163695382363,NaN,0.7082295599182417
0.8145006329998931,0.40742289897462813,NaN
NaN,NaN,NaN
0.3633557250184064,-0.031942863607484905,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.0557569241219382,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.1993030312069567,NaN,NaN
-0.641467024576723,NaN,NaN
NaN,NaN,NaN
NaN,-1.789405913935937,NaN
1.4296982347928295,NaN,NaN
-1.318184386548953,-0.910674388771711,1.4557866119396943
NaN,NaN,NaN
-2.364020309596945,-0.8875498749515998,1.4557866119396943
-1.113118519284641,-1.7431568862957145,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.31336163695382363,-0.10131640506781854,-1.285255912138965
NaN,NaN,NaN
2.1884419436707843,NaN,NaN
NaN,NaN,NaN
0.4863952453769937,NaN,0.20985819190393998
-1.1746382794639345,-1.442538206634269,-0.7868845441246634
NaN,NaN,NaN
NaN,NaN,NaN
0.5479150055562872,0.3611738713344057,0.20985819190393998
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-0.08778918296308029,0.3149248436941833,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,-0.8413008473113773,-2.2819986481675683
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
